Area,Year,Top10,Top5,Top1,Top0.5,Top0.1,Top0.01,Atkin05,Gini,RMeanDev,Theil,Small Businesses As % of Total Number of Businesses,Small Business Share of Employment,Total Firms Per Capita,HighSchool Grads As % of Total Population,College Grads As % of Total Population,Real GDP Per Capita,Real GDP Per Capita (% Change),Real GDP in Millions of 2009 US Dollars,Real GDP (% Change)," Agriculture, Forestry & Fishing (Millions of US Dollars) ", All Industry Total , Construction ," Finance, Insurance & Real Estate ", Government , Manufacturing , Mining , Retail Trade , Services ,Transportation and public utilities,Wholesale trade,Agshare,Constructionshare,FIREshare,Governmentshare,Manufacturingshare,Miningshare, RetailTradeshare , Serviceshare ,Transhare,Wholesaleshare,Numberofpoor,Povertyrate, % Union Members Total , % Union Coverage Total , % Union Members Private Construction , % Union Coverage Private Construction , % Union Members Private Manufacturing , % Union Coverage Private Manufacturing , % Union Members Private , % Union Coverage Private , % Union Members Public , % Union Coverage Public , Right to Work Dummy , Population , Land Area (Sq. Miles) , Density (People per Sq. Mile) , Ethnic Minorities as a Percentage of Total Pop ,Total Revenue,Total Taxes,Total Gen Sales Tax (T09),Total Select Sales Tax,Total Income Taxes,Individual Income Tax (T40),Corp Net Income Tax (T41),Total Expenditure,Public Welf-Total Exp,Construction,Manufacturing,Forestry & Fishing,Wholesale Trade,Retail Trade,"Finance, Insurance & Real Estate",Mining,Transportation and Utilities,Services,Government & Government Enterprises,Personal Income,Incorporated Self Employed,Un-incorporated Self Employed,Total Self Employed
Georgia,1988,40.27,28.65,14.71,11.33,6.18,2.49,0.24,0.55,0.77,0.62,95.27,0.361349373, 0.0197593 ,51.64%,12.05%,32333.46219,2.7,204222.7386,4.5," 2,071.00 "," 126,565.00 "," 6,322.00 "," 19,140.00 "," 17,697.00 "," 25,056.00 ", 720.00 ,11868,18321,13403,11966,0.016363134,0.049950618,0.151226642,0.139825386,0.197969423,0.005688777,0.09377,0.144755659,0.105898155,0.094544305,929,15,10.6,12.4,11.2,11.2,14.4,15.8,9.1,10.0,18.1,25.1, 1 ,6316142," 59,425 ", 106.29 ,0.282452812,10892340,5782247,1856625,771950,2870740,2391771,478969,9762650,1622302,5087383,15693526,366530,7464647,8147524,5169967,340452,7078379,15884928,14937385,100335299,,,0
Hawaii,1988,34.42,24.29,12.23,9.34,5.00,1.96,0.24,0.55,0.77,0.62,95.46,0.436841926, 0.0213593 ,61.67%,15.33%,40045.56969,5.7,43242.32743,6.8, 444.00 ," 26,799.00 "," 1,362.00 "," 6,468.00 "," 5,823.00 "," 1,071.00 ", 13.00 ,2864,4936,2698,1120,0.016567782,0.050822792,0.241352289,0.217284227,0.039964178,0.000485093,0.106869659,0.184185977,0.100675398,0.041792604,122,11.3,30.5,32.9,44.5,46.6,42.0,44.3,21.5,23.9,59.2,61.8, -   ,1079828," 10,932 ", 98.78 ,0.652180033,3619289,2039375,919796,374701,703647,625594,78053,2808056,319299,1158313,739763,92812,622869,1935881,1139229,8140,1326638,3902287,4896364,20461349,,,0
Idaho,1988,33.03,23.57,11.44,8.60,4.44,1.65,0.21,0.56,0.77,0.44,95.95,0.50547008, 0.0219108 ,53.87%,10.59%,25022.28812,5.3,24663.56859,5.4," 1,208.00 "," 15,285.00 ", 649.00 ," 2,069.00 "," 2,299.00 "," 2,766.00 ", 194.00 ,1529,2303,1373,895,0.07903173,0.042459928,0.135361465,0.150408898,0.180961727,0.012692182,0.100032712,0.150670592,0.089826627,0.058554138,126,12.4,11.3,13.6,12.0,12.0,25.9,27.1,9.6,10.8,18.2,24.9, 1 ,985664," 83,569 ", 11.79 ,0.026316163,1929193,906257,328453,162436,342343,280991,61352,1691288,182968,696294,1753565,138929,531049,1041081,405354,139435,669999,1992221,1981619,13524893,,,0
Illinois,1988,41.18,29.94,16.15,12.71,7.29,3.16,0.25,0.56,0.78,0.73,96.24,0.377637633, 0.0196451 ,56.74%,13.78%,35727.25803,5.6,406940.0071,5.6," 2,303.00 "," 252,197.00 "," 11,135.00 "," 50,563.00 "," 23,900.00 "," 50,427.00 "," 1,616.00 ",22158,45307,24273,20515,0.00913175,0.044151992,0.200490093,0.094767186,0.199950832,0.006407689,0.087859887,0.179649242,0.096246188,0.081345139,1470,12.7,21.3,23.1,48.4,50.1,26.5,28.0,17.5,18.7,43.4,48.9, -   ,11390183," 57,914 ", 196.67 ,0.174224436,20549230,11078693,3677354,2125171,4134814,3161110,973704,19212132,3811865,9640150,35673440,665514,13084824,14676341,15069530,1057139,12165812,39448420,22419840,212990719,,,0
Indiana,1988,37.37,25.68,12.15,9.03,4.54,1.63,0.22,0.52,0.74,0.49,95.74,0.378576149, 0.0186684 ,57.47%,9.44%,29232.70883,4.6,160538.2903,5," 1,198.00 "," 99,492.00 "," 4,404.00 "," 13,731.00 "," 10,305.00 "," 31,052.00 ", 658.00 ,9353,13647,9477,5668,0.012041169,0.044264866,0.138011096,0.103576167,0.312105496,0.006613597,0.094007558,0.137166807,0.09525389,0.056969405,749,13.7,20.6,22.4,31.1,33.5,43.1,44.2,20.2,21.0,22.9,31.0, -   ,5491735," 36,420 ", 150.79 ,0.085638942,9744252,5311824,2361910,656913,2025623,1764498,261125,8847760,1446670,3991216,22012314,252791,3590727,6226234,2745478,403842,4614843,11947441,9018080,85438311,,,0
Iowa,1988,33.83,23.28,10.69,7.86,3.84,1.32,0.21,0.54,0.75,0.43,96.34,0.442207612, 0.0217937 ,60.08%,10.56%,28611.38307,5.2,79207.40956,5.2," 2,654.00 "," 49,088.00 "," 1,541.00 "," 7,192.00 "," 6,051.00 "," 12,611.00 ", 93.00 ,4065,6993,4432,3456,0.054066167,0.031392601,0.146512386,0.123268416,0.256905965,0.001894557,0.082810463,0.142458442,0.090286832,0.070404172,291,10.3,14.6,18.4,21.9,25.8,29.1,31.0,11.8,13.3,26.8,40.5, 1 ,2768388," 56,273 ", 49.20 ,0.027659328,5821344,2849226,859033,454073,1222856,1064816,158040,5316445,825809,1476907,7233862,302379,2065695,2935614,1666242,90929,2015850,6040278,5034552,42750976,,,0
Kansas,1988,37.35,26.30,13.16,10.03,5.34,2.08,0.23,0.55,0.76,0.57,95.73,0.447958079, 0.0227096 ,59.56%,13.67%,30605.63609,1.9,75350.95363,2.6," 1,975.00 "," 46,698.00 "," 1,772.00 "," 6,650.00 "," 6,589.00 "," 8,576.00 "," 1,005.00 ",4278,6775,5709,3369,0.042293032,0.037945951,0.142404386,0.14109812,0.183648122,0.021521264,0.091609919,0.14508116,0.12225363,0.072144417,262,10.8,12.2,14.2,23.1,23.1,21.3,24.3,10.5,11.7,19.3,25.2, 1 ,2461996," 82,278 ", 29.92 ,0.078403179,4390432,2445284,775633,356290,1021838,826318,195520,3813994,543439,1646636,5715444,177328,2101869,2906245,1491507,342377,2485978,5859821,5381461,40681838,,,0
Kentucky,1988,37.74,27.11,13.40,10.16,5.34,2.04,0.22,0.54,0.76,0.52,95.57,0.413117553, 0.0176557 ,48.24%,9.95%,27119.98826,6.8,99801.52967,6.7," 1,629.00 "," 61,851.00 "," 2,405.00 "," 7,434.00 "," 8,333.00 "," 16,690.00 "," 2,875.00 ",5592,7976,5736,3180,0.026337488,0.038883769,0.120192075,0.134727005,0.26984204,0.046482676,0.090410826,0.128955069,0.092739002,0.051413882,576,16.1,16.5,18.2,16.8,17.5,36.3,37.6,15.8,16.5,20.0,26.8, -   ,3679999," 40,408 ", 91.07 ,0.077150606,7370900,3663591,951756,733034,1262752,1006992,255760,6867299,1105215,2181513,8634546,239219,1859027,3836387,1412606,2034884,2744762,7033854,6875650,50389911,,,0
Louisiana,1988,38.46,27.40,13.33,10.04,5.19,1.94,0.23,0.58,0.80,0.54,95.87,0.435661983, 0.0171744 ,49.89%,10.40%,31300.46178,5,134243.3924,3.7," 1,125.00 "," 83,196.00 "," 3,094.00 "," 9,098.00 "," 9,018.00 "," 14,373.00 "," 15,457.00 ",6356,11138,9020,4516,0.013522285,0.037189288,0.109356219,0.108394634,0.17276071,0.185790182,0.076397904,0.133876629,0.108418674,0.054281456,950,23.3,9.6,11.1,17.5,18.2,21.7,22.8,7.8,8.4,17.3,22.4, 1 ,4288863," 52,378 ", 81.88 ,0.318730091,7844780,3776254,1300885,767948,795587,575693,219894,8252127,1090821,2767233,5895456,235464,2402028,4121897,2095391,2361975,3656863,9768893,7774218,56162777,,,0
Maine,1988,35.55,25.04,12.24,9.24,4.80,1.81,0.21,0.51,0.72,0.48,96.31,0.465260411, 0.0258364 ,58.15%,12.21%,28644.84964,5.8,34483.81579,7.5, 540.00 ," 21,371.00 "," 1,406.00 "," 3,314.00 "," 3,065.00 "," 4,337.00 ", 6.00 ,2487,3305,1608,1304,0.025267886,0.065790089,0.155069955,0.143418651,0.202938562,0.000280754,0.116372655,0.154648823,0.075242151,0.061017266,128,10.4,16.6,18.5,9.0,9.7,23.1,25.4,9.9,11.2,53.6,58.8, -   ,1203840," 35,380 ", 34.03 ,0.01366142,2908601,1505523,491936,245176,639916,555212,84704,2500088,544984,1300185,3122210,254652,756484,1694993,578729,14175,771051,2931270,2621035,19127295,,,0
Maryland,1988,37.38,26.36,13.24,10.11,5.40,2.11,0.24,0.53,0.75,0.66,95.43,0.406294109, 0.0196949 ,60.36%,18.25%,35085.17374,4.8,163423.3711,6.9," 1,047.00 "," 101,280.00 "," 7,316.00 "," 19,902.00 "," 18,006.00 "," 10,615.00 ", 119.00 ,10175,19932,7406,6762,0.010337678,0.072235387,0.196504739,0.17778436,0.104808452,0.001174961,0.10046406,0.196800948,0.073124013,0.066765403,411,9,15.5,18.7,14.9,14.9,19.4,21.7,10.4,12.3,30.7,37.5, -   ,4657904," 12,406 ", 375.46 ,0.275687394,11942369,5830888,1423585,1128687,2745768,2432698,313070,9441504,1527633,5785213,7258743,391417,3867466,7226098,4119188,125451,3865143,17398023,15481572,96766594,,,0
Massachusetts,1988,39.30,28.31,14.96,11.67,6.55,2.75,0.25,0.53,0.76,0.71,96.05,0.376060737, 0.0233380 ,60.25%,18.47%,40913.00786,5.1,244659.0506,5.9," 1,092.00 "," 151,625.00 "," 7,424.00 "," 33,225.00 "," 14,217.00 "," 29,408.00 ", 100.00 ,13391,32854,9056,10859,0.007201979,0.048962902,0.219126134,0.093764221,0.193952185,0.000659522,0.08831657,0.216679308,0.059726298,0.071617477,513,8.8,18.5,19.6,24.1,25.0,16.7,17.5,11.8,12.7,58.7,61.7, -   ,5979982," 10,554 ", 566.61 ,0.075779905,14721079,8521404,2021093,892650,5053087,3984746,1068341,15366593,3367701,6768485,21959261,656371,7066877,10095314,7845090,120630,5179688,29104679,13117965,127991216,,,0
Michigan,1988,39.04,26.94,12.88,9.62,4.89,1.78,0.23,0.53,0.76,0.58,96.81,0.394367124, 0.0183550 ,55.92%,11.05%,31617.10526,3.8,291446.413,4.2," 1,748.00 "," 180,621.00 "," 6,903.00 "," 27,977.00 "," 20,084.00 "," 54,635.00 "," 1,281.00 ",15597,27929,13131,11337,0.009677723,0.038218147,0.154893396,0.111194158,0.302484207,0.007092199,0.086352085,0.154627646,0.072699188,0.062766788,1228,13.2,26.6,28.6,33.7,36.2,40.4,41.7,21.6,23.0,55.1,60.5, -   ,9217998," 96,714 ", 95.31 ,0.153389623,21549456,10515368,2919055,1145156,5443965,3587860,1856105,20376589,4310227,6094418,43731142,424487,7011909,10947907,4704044,446459,6397967,24519007,17410837,156538879,,,0
Minnesota,1988,37.22,26.14,13.01,9.89,5.24,2.02,0.23,0.54,0.75,0.58,96.05,0.402244702, 0.0213857 ,61.03%,13.70%,34514.85288,2.6,148281.5374,4," 2,324.00 "," 91,896.00 "," 4,010.00 "," 16,433.00 "," 9,810.00 "," 21,233.00 ", 520.00 ,8274,14601,7825,6866,0.025289458,0.043636284,0.178821711,0.10675111,0.23105467,0.005658571,0.090036563,0.158886132,0.085150605,0.074714895,478,11.2,20.6,22.5,41.4,42.6,20.7,23.1,14.6,15.9,51.6,57.0, -   ,4296166," 86,936 ", 49.42 ,0.047547733,11501976,6192471,1676632,1066331,3037365,2625405,411960,9647679,1679152,3512444,14280427,283353,4345218,5719565,3727283,349951,4103953,12516877,8857210,74630070,,,0
Mississippi,1988,37.50,26.82,12.86,9.62,4.90,1.79,0.22,0.56,0.78,0.45,95.52,0.400269674, 0.0169415 ,45.68%,8.96%,22220.59151,2.7,57336.94775,2.4," 1,179.00 "," 35,534.00 "," 1,207.00 "," 3,928.00 "," 5,687.00 "," 8,898.00 ", 822.00 ,3553,3874,4424,1962,0.03317949,0.033967468,0.110542016,0.160043902,0.25040806,0.023132774,0.099988743,0.109022345,0.124500478,0.055214724,566,22,7.6,9.0,9.3,9.3,13.1,14.4,6.7,7.4,11.3,15.6, 1 ,2580352," 48,432 ", 53.28 ,0.361999455,4610385,2126254,1007276,395439,449397,353227,96170,4145210,618255,1046141,5527473,136376,1047350,2224383,912922,192082,1463519,3501554,4753712,30162096,,,0
Missouri,1988,38.42,27.01,13.48,10.26,5.44,2.11,0.23,0.54,0.76,0.57,96.05,0.388437729, 0.0209601 ,56.89%,13.19%,30406.22537,3.9,154516.4101,4.4," 1,661.00 "," 95,760.00 "," 4,362.00 "," 12,685.00 "," 10,982.00 "," 21,300.00 ", 411.00 ,9135,16557,11397,7269,0.017345447,0.045551378,0.132466583,0.11468254,0.222431078,0.00429198,0.095394737,0.172901003,0.119016291,0.075908521,654,12.6,16.8,18.8,35.7,35.7,23.5,24.9,15.3,16.3,24.5,32.7, -   ,5081736," 69,707 ", 72.90 ,0.118294464,8149503,4405501,1683481,603358,1740198,1515970,224228,7497576,1126974,3969529,13935792,329660,4638884,6211472,3615302,297605,5717738,14362989,9680689,82003345,,,0
Montana,1988,35.23,25.20,12.15,9.11,4.67,1.72,0.21,0.60,0.81,0.44,96.73,0.605511838, 0.0275563 ,57.15%,12.44%,23598.69812,-0.3,18883.72543,-0.9, 447.00 ," 11,703.00 ", 431.00 ," 1,488.00 "," 2,108.00 ", 921.00 , 969.00 ,1116,1868,1643,711,0.038195335,0.036828164,0.127146885,0.180124754,0.07869777,0.082799282,0.095360164,0.159617192,0.140391353,0.060753653,127,15.6,17.7,20.3,23.7,28.4,26.2,26.6,11.6,12.6,34.6,41.7, -   ,800202," 147,040 ", 5.44 ,0.064816782,2026198,714960,0,182094,289968,243768,46200,1694829,235632,394063,630707,70818,386022,890804,294789,300239,742586,1635621,1808779,10714600,,,0
Nebraska,1988,33.74,23.96,11.91,9.05,4.79,1.84,0.22,0.55,0.77,0.50,95.82,0.450420012, 0.0236391 ,59.24%,11.98%,30045.98521,5.4,47216.57469,5.7," 2,678.00 "," 29,262.00 ", 964.00 ," 4,298.00 "," 4,726.00 "," 4,124.00 ", 81.00 ,2477,4306,3336,2272,0.09151801,0.03294375,0.146879913,0.161506391,0.140933634,0.002768095,0.084649033,0.147153305,0.114004511,0.07764336,204,12.8,11.7,16.9,5.9,10.2,17.4,23.3,7.6,11.0,29.6,42.9, 1 ,1571477," 77,348 ", 20.32 ,0.05031232,2623731,1342868,447790,278803,505818,432035,73783,2347129,417132,931061,2702448,168462,1357609,1774978,1206738,74258,1876572,3781294,3663044,25715284,,,0
Nevada,1988,47.10,36.14,22.10,18.36,11.93,6.18,0.27,0.57,0.80,0.83,93.64,0.347429783, 0.0220549 ,59.50%,10.51%,37504.83308,3.6,40318.52067,8.8, 208.00 ," 24,987.00 "," 1,622.00 "," 3,435.00 "," 2,945.00 "," 1,052.00 "," 1,380.00 ",2446,8443,2345,1112,0.008324329,0.064913755,0.137471485,0.117861288,0.042101893,0.055228719,0.097890903,0.337895706,0.093848801,0.044503142,121,10.8,18.1,20.9,29.1,30.9,6.0,6.0,15.5,17.3,34.5,43.4, 1 ,1075022," 110,572 ", 9.72 ,0.11276575,2523769,1223213,614545,433986,0,0,0,2292513,154245,1421099,745879,71064,651186,1617843,743191,485556,1019716,6418058,2479545,19785829,,,0
New Hampshire,1988,38.81,27.68,14.29,11.04,6.06,2.46,0.23,0.53,0.74,0.64,95.57,0.459201433, 0.0286177 ,61.71%,15.98%,34187.57455,3.4,37010.6819,6.2, 183.00 ," 22,937.00 "," 1,659.00 "," 4,667.00 "," 2,129.00 "," 5,281.00 ", 39.00 ,2393,4011,1272,1305,0.007978376,0.072328552,0.203470375,0.092819462,0.230239351,0.00170031,0.10432925,0.174870297,0.05545625,0.056894973,84,7.7,10.2,12.1,6.6,8.5,9.3,10.8,6.5,7.4,38.6,48.1, -   ,1082577," 9,349 ", 115.80 ,0.015769794,1770787,583168,0,256878,175524,29844,145680,1609878,252868,1566822,3796272,83126,891895,1883041,873449,26620,685823,3418441,1862493,21419236,,,0
New Jersey,1988,44.49,32.77,18.22,14.52,8.58,3.88,0.27,0.55,0.78,0.82,96.68,0.403456758, 0.0243064 ,59.33%,16.77%,40737.15781,6.8,314178.5265,7.4," 1,064.00 "," 194,709.00 "," 10,414.00 "," 39,157.00 "," 19,815.00 "," 35,972.00 ", 120.00 ,16587,36868,18209,16503,0.005464565,0.053484944,0.201105239,0.101767253,0.184747495,0.000616304,0.085188666,0.189349234,0.093519046,0.084757253,622,8.2,23.9,26.1,34.5,34.5,25.8,27.7,18.1,19.6,55.0,61.0, -   ,7712333," 8,723 ", 884.14 ,0.169237526,20957215,9762360,3136801,2015934,3739543,2557694,1181849,18951783,2821538,8441632,26106098,529009,11226068,11634509,7762349,153995,9974715,31480358,18034594,171093247,,,0
New Mexico,1988,36.09,25.15,11.72,8.66,4.29,1.51,0.22,0.56,0.78,0.47,95.09,0.502554186, 0.0201752 ,52.97%,12.73%,25396.76828,1.2,37849.74344,2, 562.00 ," 23,457.00 "," 1,036.00 "," 2,720.00 "," 5,016.00 "," 1,371.00 "," 2,846.00 ",2318,4158,2297,1134,0.023958733,0.044165921,0.115956857,0.213838087,0.058447372,0.121328388,0.098819116,0.177260519,0.097923861,0.048343778,297,19.5,8.4,10.9,9.2,9.2,10.3,10.9,7.3,8.5,11.4,17.5, -   ,1490337," 121,590 ", 12.26 ,0.117035268,4136334,1793387,739904,273486,353309,303733,49576,3503885,351381,923138,1126619,82638,633881,1565169,575225,560774,1071376,3469417,4302250,20112493,,,0
